,movie_name,movie_rating,movie_genre,movie_director,movie_actor,movie_genre_split,movie_director_split,movie_actor_split
771,시동,7.6,['드라마'],최정열,"['마동석', '박정민', '정해인', '염정아', '최성은']",드라마,최정열,마동석 박정민 정해인 염정아 최성은
772,블랙머니,9.1,"['범죄', '드라마']",정지영,"['조진웅', '이하늬']",범죄 드라마,정지영,조진웅 이하늬
773,터미네이터: 다크 페이트,7.8,"['액션', '어드벤처', 'SF']",팀 밀러,"['맥켄지 데이비스', '아놀드 슈왈제네거', '린다 해밀턴', '나탈리아 레예스', '가브리엘 루나']",액션 어드벤처 SF,팀밀러,맥켄지데이비스 아놀드슈왈제네거 린다해밀턴 나탈리아레예스 가브리엘루나
774,사바하,7.2,"['미스터리', '스릴러']",장재현,"['이정재', '박정민', '이재인', '유지태']",미스터리 스릴러,장재현,이정재 박정민 이재인 유지태
775,타짜: 원 아이드 잭,5.2,"['범죄', '드라마']",권오광,"['박정민', '류승범', '최유화']",범죄 드라마,권오광,박정민 류승범 최유화
776,신의 한 수: 귀수편,6.8,"['범죄', '액션']",리건,"['권상우', '김희원', '김성균', '허성태', '우도환', '정인겸', '원현준']",범죄 액션,리건,권상우 김희원 김성균 허성태 우도환 정인겸 원현준
777,알리타: 배틀 엔젤,8.3,"['액션', '어드벤처', '로맨스', '멜로', '스릴러', 'SF']",로버트 로드리게즈,['로사 살라자르'],액션 어드벤처 로맨스 멜로 스릴러 SF,로버트로드리게즈,로사살라자르
778,내안의 그놈,7.8,['코미디'],강효진,"['진영', '박성웅', '라미란']",코미디,강효진,진영 박성웅 라미란
779,뺑반,6.2,"['범죄', '액션']",한준희,"['공효진', '류준열', '조정석']",범죄 액션,한준희,공효진 류준열 조정석
780,변신,7.5,"['공포', '스릴러']",김홍선,"['배성우', '성동일']",공포 스릴러,김홍선,배성우 성동일
781,주먹왕 랄프 2: 인터넷 속으로,7.6,"['애니메이션', '어드벤처', '코미디', '판타지']",필 존스턴,"['존 C. 라일리', '사라 실버맨', '권창욱', '소연']",애니메이션 어드벤처 코미디 판타지,필존스턴,존C.라일리 사라실버맨 권창욱 소연
782,걸캅스,6.5,"['코미디', '액션']",정다원,"['라미란', '이성경']",코미디 액션,정다원,라미란 이성경
783,사자,6.9,"['미스터리', '액션', '판타지', '공포']",김주환,"['박서준', '안성기', '우도환']",미스터리 액션 판타지 공포,김주환,박서준 안성기 우도환
784,아쿠아맨,7.5,['액션'],제임스 완,"['제이슨 모모아', '앰버 허드', '니콜 키드먼', '패트릭 윌슨']",액션,제임스완,제이슨모모아 앰버허드 니콜키드먼 패트릭윌슨
785,드래곤 길들이기 3,8.4,"['애니메이션', '어드벤처']",딘 데블로이스,"['제이 바루첼', '아메리카 페레라', '케이트 블란쳇', '키트 해링턴', '크레이그 퍼거슨', 'F. 머레이 아브라함']",애니메이션 어드벤처,딘데블로이스,제이바루첼 아메리카페레라 케이트블란쳇 키트해링턴 크레이그퍼거슨 F.머레이아브라함
786,나의 특별한 형제,8.6,"['드라마', '코미디']",육상효,"['신하균', '이광수', '이솜']",드라마 코미디,육상효,신하균 이광수 이솜
787,어스,5.7,"['공포', '스릴러']",조던 필,"['루피타 뇽오', '윈스턴 듀크', '샤하디 라이트 조셉', '에반 알렉스']",공포 스릴러,조던필,루피타뇽오 윈스턴듀크 샤하디라이트조셉 에반알렉스
788,말레피센트 2,7.5,"['어드벤처', '가족', '판타지']",요아킴 뢰닝,"['안젤리나 졸리', '미셸 파이퍼', '엘르 패닝']",어드벤처 가족 판타지,요아킴뢰닝,안젤리나졸리 미셸파이퍼 엘르패닝
789,유열의 음악앨범,6.9,"['로맨스', '멜로', '드라마']",정지우,"['김고은', '정해인']",로맨스 멜로 드라마,정지우,김고은 정해인
790,퍼펙트맨,6.9,"['코미디', '드라마']",용수,"['설경구', '조진웅']",코미디 드라마,용수,설경구 조진웅
